image_name,pedestrian_detected
budapest_02105.jpg,NO
koeln_01104.jpg,NO
budapest_02087.jpg,NO
budapest_02108.jpg,NO
leipzig_01112.jpg,NO
leipzig_01120.jpg,NO
zagreb_01983.jpg,NO
lyon_01070.jpg,NO
roma_03046.jpg,NO
budapest_02056.jpg,NO
zagreb_02153.jpg,NO
leipzig_01069.jpg,NO
zagreb_01960.jpg,NO
zagreb_02223.jpg,NO
zagreb_02034.jpg,NO
budapest_02170.jpg,NO
budapest_02084.jpg,NO
budapest_02116.jpg,NO
zagreb_02260.jpg,NO
leipzig_01109.jpg,NO
leipzig_01149.jpg,NO
zagreb_02138.jpg,NO
leipzig_01140.jpg,NO
zagreb_01981.jpg,NO
budapest_02090.jpg,YES
budapest_02037.jpg,NO
zagreb_01982.jpg,NO
budapest_02069.jpg,NO
zagreb_02089.jpg,NO
leipzig_01121.jpg,NO
budapest_02143.jpg,NO
leipzig_01137.jpg,NO
roma_03073.jpg,NO
lyon_01077.jpg,YES
budapest_02070.jpg,NO
budapest_02169.jpg,NO
roma_03191.jpg,NO
budapest_02218.jpg,NO
koeln_01186.jpg,NO
lyon_01078.jpg,NO
leipzig_01060.jpg,YES
koeln_01284.jpg,NO
roma_03109.jpg,NO
koeln_01094.jpg,NO
koeln_01109.jpg,NO
lyon_01057.jpg,NO
zagreb_01969.jpg,NO
leipzig_01059.jpg,NO
zagreb_02050.jpg,NO
roma_03044.jpg,NO
roma_03098.jpg,YES
zagreb_02156.jpg,NO
zagreb_01978.jpg,NO
roma_03104.jpg,NO
roma_03205.jpg,NO
zagreb_02229.jpg,NO
leipzig_01147.jpg,NO
zagreb_02137.jpg,NO
leipzig_01064.jpg,NO
budapest_02071.jpg,NO
leipzig_01144.jpg,NO
leipzig_01118.jpg,NO
zagreb_02228.jpg,NO
koeln_01095.jpg,NO
zagreb_02095.jpg,YES
zagreb_02021.jpg,NO
budapest_02049.jpg,NO
zagreb_02023.jpg,NO
zagreb_02042.jpg,YES
zagreb_02018.jpg,NO
budapest_02122.jpg,NO
roma_03084.jpg,NO
budapest_02093.jpg,NO
budapest_02176.jpg,NO
koeln_01277.jpg,NO
koeln_01199.jpg,NO
koeln_01121.jpg,NO
koeln_01078.jpg,NO
roma_03087.jpg,NO
koeln_01269.jpg,YES
zagreb_02245.jpg,NO
koeln_01160.jpg,NO
lyon_01049.jpg,NO
zagreb_02005.jpg,NO
zagreb_01965.jpg,NO
zagreb_01970.jpg,NO
roma_03067.jpg,NO
budapest_02073.jpg,NO
koeln_01247.jpg,YES
roma_03040.jpg,NO
leipzig_01146.jpg,NO
roma_03052.jpg,NO
koeln_01096.jpg,NO
leipzig_01076.jpg,NO
leipzig_01129.jpg,YES
zagreb_02025.jpg,NO
koeln_01198.jpg,NO
zagreb_02096.jpg,NO
roma_03056.jpg,NO
lyon_01213.jpg,NO
